Resource Type,ID,URL
Portfolio,'53111893310005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12439.9781845934590
Portfolio,'53111893430005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/6252.0071387730
Portfolio,'53111893550005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14898.9781400825271
Portfolio,'53111892570005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/8523.0520243064
Portfolio,'53111894050005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/8243.0520243811
Portfolio,'53111892550005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/8698.0761974040
Portfolio,'53111892670005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14214.9781444318357
Portfolio,'53111892710005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12639.9780230593404
Portfolio,'53111892910005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/7995.1591404614-1
Portfolio,'53111892450005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/9735.0071483446
Portfolio,'53111893030005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/7877.0520230582
Portfolio,'53111894230005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10261.9781405135306
Portfolio,'53111893230005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/8698.0761961534
Portfolio,'53111893570005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14994.9781400830299
Portfolio,'53111892650005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15287.9780470583401
Portfolio,'53111888670005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12094.0071621199
Portfolio,'53111888930005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14507.0071701974
Portfolio,'53111888470005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11909.9780470226766
Portfolio,'53111888090005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13569.9780787988203
