publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
textbook and color atlas of salivary gland pathology: diagnosis and management		9780813802626							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14562.9780813806525		/ebooks/ebooks2/pda/2011-12-01/1/14562.9780813806525		fulltext		Wiley-Blackwell	monograph	2008				Carlson			P
transfer of learning: cognition, instruction, and reasoning		9780123305954							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10594.0123305950	Haskell	/ebooks/ebooks2/pda/2011-12-01/1/10594.0123305950		fulltext		Academic Press	monograph	2001							P
treating childhood behavioral and emotional problems: a step-by-step, evidence-based approach		9781593855642							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12752.9781593858681		/ebooks/ebooks2/pda/2011-12-01/1/12752.9781593858681		fulltext		Guilford Press	monograph	2008				Eisen			P
troubleshooting and maintenance guide for gas chromatographers		9783527313730							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13563.9783527611317	Rood	/ebooks/ebooks2/pda/2011-12-01/1/13563.9783527611317		fulltext		Wiley-VCH ; John Wiley, distributor]	monograph	2007			4th, rev. and updated ed.				P
understanding international law		9781405197649							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14841.9781444318258	Henderson	/ebooks/ebooks2/pda/2011-12-01/1/14841.9781444318258		fulltext		Wiley-Blackwell	monograph	2010							P
unofficial guide to starting a business online		9780471748380							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13568.9780471792277	Rich	/ebooks/ebooks2/pda/2011-12-01/1/13568.9780471792277		fulltext		Wiley	monograph	2006			2nd ed.				P
vibration with control	9780470010518								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13571.9780470010525	Inman	/ebooks/ebooks2/pda/2011-12-01/1/13571.9780470010525		fulltext		Wiley	monograph	2006							P
volunteer tourism: experiences that make a difference	9780851995335	9780851997650							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/7977.0851995330	Wearing	/ebooks/ebooks2/pda/2011-12-01/1/7977.0851995330		fulltext		CABI	monograph	2001							P
wavelets and their applications		9781905209316							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15000.9780470394625		/ebooks/ebooks2/pda/2011-12-01/1/15000.9780470394625		fulltext		ISTE	monograph	2007				Misiti			P
women in europe between the wars: politics, culture and society	9780754656845								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11416.9780754684169		/ebooks/ebooks2/pda/2011-12-01/1/11416.9780754684169		fulltext		Ashgate	monograph	2007				Kershaw			P
